Yaw: 91.0625, Pitch: 0.625, Roll: 1.25, ax: -0.100905, ay: 9.97484, accel_signed: 9.94084
Yaw: 91.8125, Pitch: 0.6875, Roll: 0.9375, ax: -0.0960623, ay: 9.00886, accel_signed: 8.98689
Yaw: 92.3125, Pitch: 0.5, Roll: 0.6875, ax: -0.224856, ay: 8.01967, accel_signed: 7.99761
Yaw: 93, Pitch: 0.5, Roll: 0.375, ax: 0.0514687, ay: 7.30341, accel_signed: 7.2998
Yaw: 93.625, Pitch: 0.4375, Roll: 0.375, ax: -0.0770897, ay: 6.53828, accel_signed: 6.53347
Yaw: 94.4375, Pitch: 0.4375, Roll: 0.375, ax: -0.0669028, ay: 5.83928, accel_signed: 5.83774
Yaw: 95.5, Pitch: 0.4375, Roll: 0.5, ax: -0.0605387, ay: 5.22484, accel_signed: 5.22505
Yaw: 96.3125, Pitch: 0.5, Roll: 0.4375, ax: -0.0309987, ay: 4.67646, accel_signed: 4.67623
Yaw: 97.375, Pitch: 0.4375, Roll: 0.4375, ax: -0.0775149, ay: 4.1479, accel_signed: 4.14792
Yaw: 98.25, Pitch: 0.5, Roll: 0.5, ax: -0.111996, ay: 3.82372, accel_signed: 3.82435
Yaw: 99.25, Pitch: 0.5625, Roll: 0.4375, ax: -0.181248, ay: 3.40672, accel_signed: 3.41107
Yaw: 100.125, Pitch: 0.5625, Roll: 0.4375, ax: -0.137371, ay: 2.98944, accel_signed: 2.9903
Yaw: 100.938, Pitch: 0.4375, Roll: 0.3125, ax: -0.232746, ay: 2.73075, accel_signed: 2.74037
Yaw: 101.688, Pitch: 0.4375, Roll: 0.375, ax: -0.276243, ay: 2.41201, accel_signed: 2.42777
Yaw: 102.5, Pitch: 0.5, Roll: 0.375, ax: -0.317504, ay: 2.19113, accel_signed: 2.21368
Yaw: 103.125, Pitch: 0.5, Roll: 0.3125, ax: -0.254008, ay: 1.95701, accel_signed: 1.97336
Yaw: 103.625, Pitch: 0.4375, Roll: 0.25, ax: -0.257431, ay: 1.62341, accel_signed: 1.64359
Yaw: 104.438, Pitch: 0.4375, Roll: 0.125, ax: -0.413681, ay: 1.37291, accel_signed: 1.42134
Yaw: 105.125, Pitch: 0.75, Roll: -0.0625, ax: -0.301083, ay: 1.30985, accel_signed: 1.34208
Yaw: 106, Pitch: 0.75, Roll: -0.125, ax: -0.406569, ay: 1.08822, accel_signed: 1.14496
