time,vx,ay,yaw_rate,steering_angle
9.664329,0.000000,0.203627,0.125000,0.000000
9.694475,0.000000,0.165232,-3.375000,0.000000
9.724652,0.000000,0.127636,-4.812500,0.000000
9.754791,0.000000,0.103128,-2.250000,0.000000
9.784920,0.000000,0.103128,-2.250000,0.000000
9.815056,0.000000,0.121856,4.000000,0.000000
9.845352,0.000000,0.126435,6.750000,0.000000
9.875543,0.000000,0.136287,5.125000,0.000000
9.906159,0.000000,0.107152,1.187500,0.000000
9.936559,0.000000,0.070324,0.250000,0.000000
9.966757,0.000000,0.080757,-2.875000,1.000000
9.997015,0.000000,0.113027,-4.062500,1.000000
10.027232,0.000000,0.113027,-4.062500,1.000000
10.057444,0.000000,0.114642,-3.812500,1.000000
10.087594,0.000000,0.098029,-5.125000,1.000000
10.117752,0.000000,0.087753,-5.562500,1.000000
10.152256,0.000000,0.074649,-5.562500,1.000000
10.182413,0.000000,0.067548,-2.062500,1.000000
10.212578,0.000000,0.051610,-0.812500,0.000000
10.242759,0.000000,0.047652,-1.250000,0.000000
10.272945,0.000000,0.025996,-2.250000,0.000000
10.303122,0.000000,0.025996,-2.250000,0.000000
10.333423,0.000000,0.022572,-4.812500,0.000000
10.363562,0.000000,0.022328,-6.500000,0.000000
10.393729,0.000000,0.067766,-4.750000,0.000000
10.423984,0.000000,0.061320,-1.000000,0.000000
10.454180,0.000000,0.080219,-0.750000,0.000000
10.484339,0.000000,0.080219,-0.750000,0.000000
10.514501,0.000000,0.092565,2.000000,-1.000000
10.544678,0.000000,0.104687,2.625000,-1.000000
10.574872,0.000000,0.077606,2.187500,-1.000000
10.605001,0.000000,0.074029,1.562500,-1.000000
10.635159,0.000000,0.076499,-2.125000,-2.000000
10.665308,0.000000,0.054954,-8.750000,-2.000000
10.695460,0.000000,0.058287,-6.625000,-2.000000
10.725600,0.000000,0.031815,-2.812500,-2.000000
10.755785,0.000000,-0.016871,-1.125000,-2.000000
10.786031,0.000000,-0.016871,-1.125000,-2.000000
10.816195,0.000000,0.018028,0.875000,-2.000000
10.846404,0.000000,0.058168,2.500000,-2.000000
10.876993,0.000000,0.062147,1.187500,-3.000000
10.907722,0.000000,0.086675,-1.375000,-3.000000
10.937927,0.000000,0.090796,-4.375000,-3.000000
10.968118,0.000000,0.110697,-8.437500,-3.000000
10.998272,0.000000,0.085898,-3.937500,-3.000000
11.030147,0.000000,0.085898,-3.937500,-3.000000
11.060308,0.000000,0.055848,-0.875000,-4.000000
11.090467,0.000000,0.087635,-5.312500,-4.000000
11.120638,0.000000,0.056468,-4.625000,-4.000000
11.151234,0.000000,0.053951,-3.125000,-4.000000
11.181481,0.000000,0.085917,-6.000000,-4.000000
11.211749,0.000000,0.100574,-7.375000,-4.000000
11.242583,0.000000,0.100520,-0.375000,-5.000000
11.272972,0.000000,0.146130,-2.625000,-5.000000
11.303314,0.000000,0.146130,-2.625000,-6.000000
11.334229,0.000000,0.151255,-5.812500,-6.000000
11.366111,0.000000,0.124500,-4.687500,-6.000000
11.396298,0.000000,0.124500,-4.687500,-6.000000
11.426765,0.000000,0.164976,-2.750000,-6.000000
11.457613,0.000000,0.141673,0.437500,-6.000000
11.488879,0.000000,0.123440,1.187500,-6.000000
11.519057,0.000000,0.125015,6.187500,-6.000000
11.552928,0.000000,0.139758,11.812500,-6.000000
11.584839,0.000000,0.147391,13.562500,-6.000000
11.615028,0.000000,0.169518,11.375000,-6.000000
11.645303,0.000000,0.179076,6.562500,-6.000000
11.675449,0.000000,0.179076,6.562500,-6.000000
11.705594,0.000000,0.178213,0.625000,-5.000000
11.735711,0.000000,0.155553,-2.062500,-5.000000
11.765859,0.000000,0.140756,-5.125000,-4.000000
11.795999,0.000000,0.115952,-5.937500,-4.000000
11.826176,0.000000,0.015504,-3.062500,-5.000000
11.856351,0.000000,0.028298,-1.437500,-5.000000
11.886829,0.000000,0.035119,0.625000,-5.000000
11.916950,0.000000,0.035119,0.625000,-5.000000
11.947091,0.000000,0.045096,3.875000,-5.000000
11.978629,0.000000,0.042708,4.375000,-5.000000
12.009455,0.000000,0.025328,3.375000,-5.000000
12.039875,0.000000,0.025773,2.250000,-5.000000
12.071613,0.000000,0.025773,2.250000,-5.000000
12.101771,0.000000,-0.078463,0.750000,-4.000000
12.137414,0.000000,-0.098585,2.437500,-4.000000
12.170793,0.000000,0.020186,2.187500,-4.000000
12.201701,0.000000,0.020186,2.187500,-4.000000
12.232069,0.000000,0.001144,4.625000,-4.000000
12.262245,0.000000,0.031475,-0.687500,-3.000000
12.292423,0.000000,0.021822,0.250000,-3.000000
12.322588,0.000000,0.026405,0.687500,-3.000000
12.352789,0.000000,0.040064,1.937500,-3.000000
12.382977,0.000000,0.036253,-0.312500,-4.000000
12.413119,0.000000,0.036253,-0.312500,-4.000000
12.443309,0.000000,0.038512,-1.312500,-3.000000
12.473467,0.000000,0.059581,-0.437500,-3.000000
12.503642,0.000000,0.062475,0.437500,-3.000000
12.533808,0.000000,0.049873,0.437500,-3.000000
12.563953,0.000000,0.057495,-0.125000,-3.000000
12.594091,0.000000,0.057495,-0.125000,-3.000000
12.624235,0.000000,0.049172,-0.125000,-3.000000
12.654475,0.000000,0.097765,0.437500,-4.000000
12.684687,0.000000,0.071342,-0.625000,-4.000000
12.714881,0.000000,0.056946,-1.625000,-3.000000
12.745043,0.000000,0.100043,-0.750000,-3.000000
12.775211,0.000000,0.107649,-0.312500,-3.000000
12.805410,0.100276,0.090750,2.062500,-3.000000
12.835575,0.292472,0.096386,3.687500,-4.000000
12.865738,0.284116,0.096386,3.687500,-4.000000
12.895891,0.275760,0.024435,4.812500,-3.000000
12.926057,0.275760,0.055404,4.937500,-3.000000
12.956189,0.267403,-0.077334,0.125000,-3.000000
12.986327,0.267403,-0.061416,-0.625000,-3.000000
13.016505,0.284116,0.007209,-7.250000,-3.000000
13.046596,0.284116,0.029353,-10.875000,-2.000000
13.076689,0.284116,0.083636,-3.437500,-2.000000
13.106810,0.267403,0.083636,-3.437500,-1.000000
13.136937,0.275760,0.127047,7.125000,-1.000000
13.167092,0.275760,0.124474,20.687500,0.000000
13.198836,0.267403,0.177319,28.312500,0.000000
13.228981,0.267403,0.132865,32.062500,0.000000
13.259284,0.267403,0.098348,29.812500,2.000000
13.289492,0.275760,0.240241,17.312500,2.000000
13.319677,0.284116,0.399077,-5.937500,8.000000
13.349836,0.275760,0.399077,-5.937500,8.000000
13.383612,0.275760,0.297381,-28.812500,10.000000
13.413895,0.275760,0.224384,-28.125000,10.000000
13.444192,0.267403,0.099353,-27.437500,9.000000
13.474443,0.300829,0.036632,-25.250000,9.000000
13.504643,0.292472,0.062636,-15.937500,7.000000
13.536865,0.292472,0.061434,-10.437500,7.000000
13.572643,0.275760,0.061434,-10.437500,7.000000
13.603851,0.275760,0.085079,-5.875000,7.000000
13.633994,0.275760,0.126451,-0.875000,6.000000
13.664482,0.284116,0.142960,-0.875000,6.000000
13.695152,0.309185,0.140776,-6.000000,5.000000
13.726264,0.300829,0.163532,-7.125000,5.000000
13.756449,0.292472,0.186026,-6.437500,5.000000
13.786590,0.284116,0.202575,-6.312500,2.000000
13.816716,0.275760,0.202575,-6.312500,1.000000
13.846870,0.284116,0.195671,-7.812500,1.000000
13.877077,0.284116,0.191327,-8.375000,1.000000
13.907228,0.275760,0.169322,-9.125000,1.000000
13.937370,0.275760,0.306366,-4.750000,0.000000
13.967495,0.267403,0.185903,4.937500,0.000000
13.997732,0.250691,0.138731,9.750000,0.000000
14.027905,0.300829,0.039921,-1.500000,0.000000
14.058055,0.259047,0.039921,-1.500000,0.000000
14.088215,0.267403,0.217813,-4.312500,0.000000
14.118362,0.242334,0.410173,3.000000,0.000000
14.148516,0.284116,0.330252,-4.812500,0.000000
14.178670,0.275760,0.412986,0.875000,0.000000
14.214672,0.284116,0.378457,1.750000,0.000000
14.244819,0.284116,0.395727,3.812500,0.000000
14.274986,0.275760,0.395727,3.812500,0.000000
14.305140,0.267403,0.367596,3.625000,0.000000
14.335755,0.284116,0.344994,-1.375000,0.000000
14.365935,0.267403,0.218954,2.375000,0.000000
14.396108,0.275760,0.415962,-0.312500,0.000000
14.427621,0.317541,0.456299,1.812500,0.000000
14.457781,0.300829,0.456299,1.812500,0.000000
14.489333,0.284116,0.453797,-0.062500,0.000000
14.520800,0.275760,0.382092,2.000000,0.000000
14.550940,0.275760,0.412333,0.500000,0.000000
14.582754,0.275760,0.385476,-1.437500,0.000000
14.613154,0.284116,0.385476,-1.437500,0.000000
14.650197,0.284116,0.320270,1.062500,0.000000
14.680882,0.284116,0.298366,0.937500,0.000000
14.711250,0.267403,0.212909,1.937500,0.000000
14.743543,0.267403,0.212909,1.937500,0.000000
14.774367,0.292472,0.131776,1.000000,0.000000
14.805236,0.267403,0.065971,1.250000,0.000000
14.835447,0.275760,0.053988,1.625000,0.000000
14.865627,0.284116,0.045999,1.687500,0.000000
14.895809,0.284116,-0.030672,2.562500,0.000000
14.925962,0.284116,-0.016339,-0.250000,0.000000
14.956094,0.284116,-0.056640,2.000000,0.000000
14.986238,0.284116,-0.026520,2.375000,0.000000
15.016375,0.284116,-0.026520,2.375000,0.000000
15.046521,0.275760,-0.056339,0.687500,0.000000
15.076685,0.267403,-0.090933,2.562500,0.000000
15.106957,0.275760,-0.028061,0.250000,0.000000
15.137165,0.292472,-0.043466,1.312500,0.000000
15.167370,0.275760,-0.000330,0.625000,0.000000
15.197541,0.275760,-0.021226,1.937500,0.000000
15.227693,0.284116,0.005526,2.687500,0.000000
15.257869,0.284116,0.005526,2.687500,0.000000
15.288166,0.292472,0.085856,1.750000,0.000000
15.318374,0.284116,0.014907,-2.062500,0.000000
15.348543,0.267403,-0.102564,2.000000,1.000000
15.381829,0.275760,-0.060465,0.062500,1.000000
15.412008,0.275760,-0.082299,0.375000,1.000000
15.442281,0.275760,-0.130594,1.562500,1.000000
15.472415,0.275760,-0.130594,1.562500,1.000000
15.502556,0.275760,-0.111513,-0.125000,1.000000
15.532718,0.275760,-0.010537,1.312500,1.000000
15.562906,0.267403,-0.048535,2.250000,1.000000
15.593046,0.275760,-0.042967,1.875000,1.000000
15.624415,0.267403,-0.031270,4.812500,1.000000
15.654647,0.309185,-0.014027,-1.375000,2.000000
15.685685,0.292472,-0.014027,-1.375000,2.000000
15.715853,0.284116,-0.032669,2.625000,2.000000
